paper_id,author_id,status
chang-2024-chronos,maria-chang,confirmed
chang-2024-chronos,achille-fokoue,confirmed
chang-2024-chronos,rosario-uceda-sosa,confirmed
chang-2024-chronos,oktie-hassanzadeh,confirmed
uceda-sosa-2025-conceptual-diagnostics,rosario-uceda-sosa,confirmed
uceda-sosa-2025-conceptual-diagnostics,maria-chang,confirmed
uceda-sosa-2025-conceptual-diagnostics,karthikeyan-ramamurthy,confirmed
uceda-sosa-2025-conceptual-diagnostics,moninder-singh,confirmed
hassanzadeh-2024-wikicausal,oktie-hassanzadeh,confirmed
matuszek-2005-searching-for-common-sense,michael-witbrock,confirmed
matuszek-2005-searching-for-common-sense,cynthia-matuszek,confirmed
matuszek-2005-searching-for-common-sense,douglas-lenat,confirmed
